406,"Borkum","Borkum","Germany","BMK","EDWR",53.5955,6.709167,3,1,"E","Europe/Berlin"
3364,"Capital Intl","Beijing","China","PEK","ZBAA",40.080111,116.584556,116,8,"U","Asia/Chongqing"
6817,"Hongyuan Airfield","Hongyuan","China","",\N,32.800428,102.534785,11500,8,"N","Asia/Chongqing"
3366,"Dongshan","Hailar","China","HLD","ZBLA",49.204997,119.825,2169,8,"U","Asia/Chongqing"
3368,"Binhai","Tianjin","China","TSN","ZBTJ",39.124353,117.346183,10,8,"U","Asia/Chongqing"
3369,"Wusu","Taiyuan","China","TYN","ZBYN",37.746897,112.628428,2575,8,"U","Asia/Chongqing"
3370,"Baiyun Intl","Guangzhou","China","CAN","ZGGG",23.392436,113.298786,50,8,"U","Asia/Chongqing"
3371,"Huanghua","Changcha","China","CSX","ZGHA",28.189158,113.219633,217,8,"U","Asia/Chongqing"
3372,"Liangjiang","Guilin","China","KWL","ZGKL",25.218106,110.039197,570,8,"U","Asia/Chongqing"
3373,"Wuxu","Nanning","China","NNG","ZGNN",22.608267,108.172442,421,8,"U","Asia/Chongqing"
3374,"Baoan Intl","Shenzhen","China","SZX","ZGSZ",22.639258,113.810664,13,8,"U","Asia/Chongqing"
3375,"Xinzheng","Zhengzhou","China","CGO","ZHCC",34.519672,113.840889,495,8,"U","Asia/Chongqing"
3376,"Tianhe","Wuhan","China","WUH","ZHHH",30.783758,114.2081,113,8,"U","Asia/Chongqing"
3377,"Pyongyang Intl","Pyongyang","Korea","FNJ","ZKPY",39.224061,125.67015,117,9,"U","Asia/Pyongyang"
3378,"Zhongchuan","Lanzhou","China","ZGC","ZLLL",36.515242,103.620775,6388,8,"U","Asia/Chongqing"
3379,"Xianyang","Xi'an","China","XIY","ZLXY",34.447119,108.751592,1572,8,"U","Asia/Chongqing"
3380,"Chinggis Khaan Intl","Ulan Bator","Mongolia","ULN","ZMUB",47.843056,106.766639,4364,8,"U","Asia/Ulaanbaatar"
3381,"Gasa","Jinghonggasa","China","","ZPJH",21.973914,100.759611,1815,8,"U","Asia/Chongqing"
3382,"Wujiaba","Kunming","China","KMG","ZPPP",24.992364,102.743536,6217,8,"U","Asia/Chongqing"
3383,"Gaoqi","Xiamen","China","XMN","ZSAM",24.544036,118.127739,59,8,"U","Asia/Chongqing"
3384,"Changbei Intl","Nanchang","China","KHN","ZSCN",28.865,115.9,143,8,"U","Asia/Chongqing"
3385,"Changle","Fuzhou","China","FOC","ZSFZ",25.935064,119.663272,46,8,"U","Asia/Chongqing"
3386,"Xiaoshan","Hangzhou","China","HGH","ZSHC",30.229503,120.434453,23,8,"U","Asia/Chongqing"
3387,"Lishe","Ninbo","China","NGB","ZSNB",29.826683,121.461906,13,8,"U","Asia/Chongqing"
3388,"Lukou","Nanjing","China","NKG","ZSNJ",31.742042,118.862025,49,8,"U","Asia/Chongqing"
3389,"Luogang","Hefei","China","HFE","ZSOF",31.780019,117.298436,108,8,"U","Asia/Chongqing"
3390,"Liuting","Qingdao","China","TAO","ZSQD",36.266108,120.374436,33,8,"U","Asia/Chongqing"
3391,"Hongqiao Intl","Shanghai","China","SHA","ZSSS",31.197875,121.336319,10,8,"U","Asia/Chongqing"
3392,"Laishan","Yantai","China","YNT","ZSYT",37.401667,121.371667,59,8,"U","Asia/Chongqing"
3393,"Jiangbei","Chongqing","China","CKG","ZUCK",29.719217,106.641678,1365,8,"U","Asia/Chongqing"
3394,"Longdongbao","Guiyang","China","KWE","ZUGY",26.538522,106.800703,3736,8,"U","Asia/Chongqing"
3395,"Shuangliu","Chengdu","China","CTU","ZUUU",30.578528,103.947086,1625,8,"U","Asia/Chongqing"
3396,"Qingshan","Xichang","China","XIC","ZUXC",27.989083,102.184361,5112,8,"U","Asia/Chongqing"
3397,"Kashi","Kashi","China","KHG","ZWSH",39.542922,76.019956,4529,8,"U","Asia/Chongqing"
3398,"Hotan","Hotan","China","HTN","ZWTN",37.038522,79.864933,4672,8,"U","Asia/Chongqing"
3399,"Diwopu","Urumqi","China","URC","ZWWW",43.907106,87.474244,2125,8,"U","Asia/Chongqing"
3400,"Taiping","Harbin","China","HRB","ZYHB",45.623403,126.250328,457,8,"U","Asia/Chongqing"
6332,"Warraber Island Airport","Sue Islet","Australia","SYU","YWBS",-10.2083,142.825,3,10,"O","Australia/Brisbane"
6333,"Windorah Airport","Windorah","Australia","WNR","YWDH",-25.4131,142.667,452,10,"O","Australia/Brisbane"
6334,"Whyalla Airport","Whyalla","Australia","WYA","YWHA",-33.0589,137.514,41,9.5,"O","Australia/Adelaide"
6335,"Wiluna Airport","Wiluna","Australia","WUN","YWLU",-26.6292,120.221,1649,8,"O","Australia/Perth"
6336,"Wollongong Airport","Wollongong","Australia","WOL","YWOL",-34.5611,150.789,31,10,"O","Australia/Sydney"
6337,"Winton Airport","Winton","Australia","WIN","YWTN",-22.3636,143.086,638,10,"O","Australia/Brisbane"
6338,"Wynyard Airport","Burnie","Australia","BWT","YWYY",-40.9989,145.731,62,10,"O","Australia/Melbourne"
6339,"Yorke Island Airport","Yorke Island","Australia","OKR","YYKI",-9.75703,143.411,0,10,"O",\N
6340,"Yam Island Airport","Yam Island","Australia","XMY","YYMI",-9.90111,142.776,0,10,"O",\N
6341,"Beijing Nanyuan Airport","Beijing","China","NAY","ZBBB",39.7825,116.387778,0,8,"U","Asia/Chongqing"
6342,"Chifeng Airport","Chifeng","China","CIF","ZBCF",42.235,118.908,0,8,"U","Asia/Chongqing"
6343,"Changzhi Airport","Changzhi","China","CIH","ZBCZ",36.2475,113.126,0,8,"U","Asia/Chongqing"
6344,"Datong Airport","Datong","China","DAT","ZBDT",40.0603,113.482,3442,8,"U","Asia/Chongqing"
6345,"Baita Airport","Hohhot","China","HET","ZBHH",40.851422,111.824103,3556,8,"U","Asia/Chongqing"
6346,"Baotou Airport","Baotou","China","BAV","ZBOW",40.56,109.997,3321,8,"U","Asia/Chongqing"
6347,"Shijiazhuang Daguocun International Airport","Shijiazhuang","China","SJW","ZBSJ",38.280686,114.6973,233,8,"U","Asia/Chongqing"
6348,"Tongliao Airport","Tongliao","China","TGO","ZBTL",43.5567,122.2,0,8,"U","Asia/Chongqing"
6349,"Ulanhot Airport","Ulanhot","China","HLH","ZBUL",46.083,122.017,0,8,"U","Asia/Chongqing"
6350,"Xilinhot Airport","Xilinhot","China","XIL","ZBXH",43.9156,115.964,0,8,"U","Asia/Chongqing"
6351,"Beihai Airport","Beihai","China","BHY","ZGBH",21.5394,109.294,0,8,"U","Asia/Chongqing"
6352,"Changde Airport","Changde","China","CGD","ZGCD",28.9189,111.64,0,8,"U","Asia/Chongqing"
6353,"Dayong Airport","Dayong","China","DYG","ZGDY",29.1028,110.443,692,8,"U","Asia/Chongqing"
6354,"Meixian Airport","Meixian","China","MXZ","ZGMX",24.35,116.133,0,8,"U","Asia/Chongqing"
6355,"Zhuhai Airport","Zhuhai","China","ZUH","ZGSD",22.0064,113.376,0,8,"U","Asia/Chongqing"
6356,"Bailian Airport","Liuzhou","China","LZH","ZGZH",24.2075,109.391,295,8,"U","Asia/Chongqing"
6357,"Zhanjiang Airport","Zhanjiang","China","ZHA","ZGZJ",21.2144,110.358,0,8,"U","Asia/Chongqing"
6358,"Enshi Airport","Enshi","China","ENH","ZHES",30.3203,109.485,0,8,"U","Asia/Chongqing"
6359,"Nanyang Airport","Nanyang","China","NNY","ZHNY",32.9808,112.615,0,8,"U","Asia/Chongqing"
